X,Y
3.9e-05,5.1e-05
3.9e-05,5.4e-05
3.9e-05,5.7e-05
3.9e-05,6e-05
3.9e-05,6.3e-05
3.9e-05,6.6e-05
3.9e-05,6.9e-05
3.9e-05,7.2e-05
3.9e-05,7.5e-05
3.9e-05,7.8e-05
3.9e-05,8.1e-05
3.9e-05,8.4e-05
3.9e-05,8.7e-05
3.9e-05,9e-05
3.9e-05,9.3e-05
3.9e-05,9.6e-05
3.9e-05,9.9e-05
3.9e-05,0.000102
3.9e-05,0.000105
3.9e-05,0.000108
3.9e-05,0.000111
3.9e-05,0.000114
3.9e-05,0.000117
3.9e-05,0.00012
3.9e-05,0.000123
3.9e-05,0.000126
3.9e-05,0.000129
3.9e-05,0.000132
3.9e-05,0.000135
3.9e-05,0.000138
3.9e-05,0.000141
3.9e-05,0.000144
3.9e-05,0.000147
3.9e-05,0.00015
4.2e-05,3e-06
4.2e-05,6e-06
4.2e-05,9e-06
4.2e-05,1.2e-05
4.2e-05,1.5e-05
4.2e-05,1.8e-05
4.2e-05,2.1e-05
4.2e-05,2.4e-05
4.2e-05,2.7e-05
4.2e-05,3e-05
4.2e-05,3.3e-05
4.2e-05,3.6e-05
4.2e-05,3.9e-05
4.2e-05,4.2e-05
4.2e-05,4.5e-05
4.2e-05,4.8e-05
4.2e-05,5.1e-05
4.2e-05,5.4e-05
4.2e-05,5.7e-05
4.2e-05,6e-05
4.2e-05,6.3e-05
4.2e-05,6.6e-05
4.2e-05,6.9e-05
4.2e-05,7.2e-05
4.2e-05,7.5e-05
4.2e-05,7.8e-05
4.2e-05,8.1e-05
4.2e-05,8.4e-05
4.2e-05,8.7e-05
4.2e-05,9e-05
4.2e-05,9.3e-05
4.2e-05,9.6e-05
4.2e-05,9.9e-05
4.2e-05,0.000102
4.2e-05,0.000105
4.2e-05,0.000108
4.2e-05,0.000111
4.2e-05,0.000114
4.2e-05,0.000117
4.2e-05,0.00012
4.2e-05,0.000123
4.2e-05,0.000126
4.2e-05,0.000129
4.2e-05,0.000132
4.2e-05,0.000135
4.2e-05,0.000138
4.2e-05,0.000141
4.2e-05,0.000144
4.2e-05,0.000147
4.2e-05,0.00015
4.5e-05,3e-06
4.5e-05,6e-06
4.5e-05,9e-06
4.5e-05,1.2e-05
4.5e-05,1.5e-05
4.5e-05,1.8e-05
4.5e-05,2.1e-05
4.5e-05,2.4e-05
4.5e-05,2.7e-05
4.5e-05,3e-05
4.5e-05,3.3e-05
4.5e-05,3.6e-05
4.5e-05,3.9e-05
4.5e-05,4.2e-05
4.5e-05,4.5e-05
4.5e-05,4.8e-05
4.5e-05,5.1e-05
4.5e-05,5.4e-05
4.5e-05,5.7e-05
4.5e-05,6e-05
4.5e-05,6.3e-05
4.5e-05,6.6e-05
4.5e-05,6.9e-05
4.5e-05,7.2e-05
4.5e-05,7.5e-05
4.5e-05,7.8e-05
4.5e-05,8.1e-05
4.5e-05,8.4e-05
4.5e-05,8.7e-05
4.5e-05,9e-05
4.5e-05,9.3e-05
4.5e-05,9.6e-05
4.5e-05,9.9e-05
4.5e-05,0.000102
4.5e-05,0.000105
4.5e-05,0.000108
4.5e-05,0.000111
4.5e-05,0.000114
4.5e-05,0.000117
4.5e-05,0.00012
4.5e-05,0.000123
4.5e-05,0.000126
4.5e-05,0.000129
4.5e-05,0.000132
4.5e-05,0.000135
4.5e-05,0.000138
4.5e-05,0.000141
4.5e-05,0.000144
4.5e-05,0.000147
4.5e-05,0.00015
4.8e-05,3e-06
4.8e-05,6e-06
4.8e-05,9e-06
4.8e-05,1.2e-05
4.8e-05,1.5e-05
4.8e-05,1.8e-05
